Rank,Title,Hit,Like,Channel
1,"[11/18] '비매너 논란?' 9회 말, 권희동 타석 Full ver.",193690,344,크보연구소_네이버스포츠
2,레전드 무대 예약😍 임영웅 ‘그날들’ ♫,372370,27077,사랑의 콜센타
3,잠시만 안녕. 김호중 군복무전 마지막 무대 ＜배웅＞ㅣ김호중의파트너 EP.5,442711,21658,아무도 모르게 김호중의 파트너
4,MBN 뉴스파이터-대체 복무에도 대체 불가한 김호중…왜?,34011,8073,MBN 뉴스
5,헨리가 부르는 'Radio' ♪♬,43605,1606,라디오스타
6,"[전체HL] '김재호 활약' 두산, 접전 끝에 NC 꺾고 승부 원점",133695,1040,KBO리그 NC 홈경기 영상
7,[Full] 개학 첫 날부터 선 넘네? [라이브온] - EP.01~02 (본 영상은 1분부터 시작!),171679,3161,플레이리스트 오리지널 PLAYLIST ORIGINALS
8,소름이 쫘-악↗ 이찬원✕옥진욱 ‘남자라는 이유로’ ♪,128602,10495,사랑의 콜센타
9,장윤정 - 돼지토끼 #MV by 2%엔터테인먼트,21265,366,2%엔터테인먼트
10,‘넌 나의 20대였어’ ♬ 영탁의 뜨거웠던 20대 시절..,89283,8176,사랑의 콜센타
11,임영웅 ‘오랜만이야’ ♪ 가슴 찡-한 무대😥,270584,22295,뽕숭아학당
12,[메이킹] 갭 차이란 이런 것이다↗ 본방과는 완전히 다른 훈훈한 현장으로 초대합니다!,7572,69,펜트하우스
13,게임도 지고 욕도 먹는 권희동 비매너 플레이 모음,14600,49,야구 라이프
14,당신이 김호중을 처음 만난다면? 사람들 리얼반응 모음.zip,26063,5229,아무도 모르게 김호중의 파트너
15,[티저] 연애도.. 화장빨로 되나요? ♥.♥ [여신강림] 12/9(수) 밤 10시 30분 첫 방송,13767,266,여신강림
16,＂너 완전 zzㅏ증나~＂ 연예인보다 유행어 더 많은 연반인 재재,49806,815,라디오스타
17,"'높이만 57m' 290억 들인 관우 동상, 이사 가게 된 사정",20166,4,SBS뉴스
18,기대하세요~ 소름 돋는 14살의 절절함 ‘사모’♪,82655,4984,사랑의 콜센타
19,한국전력-KB손해보험 풀영상,9170,79,프로배구 네이버스포츠
20,"#하이라이트#로맨스맛집, 구미호뎐! 대표 커플들의 러브라인 한번에 정리함 ☞ 솔로 시청주의ㅠㅠ",11290,134,구미호뎐
21,"[KBO리그] ""숙명 같은 팀""…류지현 LG 감독의 취임사",8781,191,SPORTSTIME (스포츠타임)
22,서로를 오해한 바다 & 재재! (ft. 바다&재재 화해의 'MAD' 컬래버♨),70437,585,라디오스타
23,[풀버전] 사랑의 콜센타 이찬원 '떠나는 임아' ♫,291989,13865,사랑의 콜센타
24,이강인이 맨시티로? 롤모델 다비드 실바처럼? [풋볼&이슈],7646,40,인터티비
25,"법무부 ""오늘 윤석열 방문조사 안 한다""...정면 충돌은 피해",7030,0,뉴스는 YTN
26,두산-NC 풀영상,12175,93,KBO리그 NC 홈경기 영상
27,"'강두기 vs 임동규' 하도권-조한선, 시구 및 시타",47761,299,KBO리그 NC 홈경기 영상
28,큰 자기 리얼 웃음 폭발ㅋㅋ 유퀴즈 역대 가장 웃긴 오답!,92994,696,유 퀴즈 온 더 블럭
29,연반인 재재의 박지훈 TMI 소개! ＂올라잇~!😉👌＂,56292,2047,라디오스타
30,‘I Believe’ ♫ 희재가 100점 받을 거라 믿어요😘,124627,4309,사랑의 콜센타
31,[7AM] '지옥 문턱에서 두산이 돌아왔다!' KS 2차전 하이라이트!,50737,421,크보연구소_네이버스포츠
32,"[더뉴스] 법무부, '윤석열 대면조사' 일단 취소...배경은?",4117,1,뉴스는 YTN
33,소원 불만가득♨ 20만원 꽃다발에 급 과거 회상..😩,79505,150,아내의 맛
34,대학생이 되고 더 업그레이된 무대장악력! Dynamite 무대 공개☆,349224,2273,유 퀴즈 온 더 블럭
35,텐션 올려서 갑시다! 93년으로~ ‘처음 그 느낌처럼’♪,41371,2623,사랑의 콜센타
36,어쩌다 베스트셀러 작가! 장기하 자기님의 셀프디스(?) 책 소개,38911,169,유 퀴즈 온 더 블럭
37,김희재 ‘나는 남자다’ ♫ 섹시한 골반댄스♨,133606,6356,2020 트롯 어워즈
38,[14회 ＃단독 선공개＃] 사랑을 지키기 위한 라라의 용기! ＂준이랑 헤어지기 싫은데＂ ＜도도솔솔라라솔＞,42885,345,도도솔솔라라솔
39,마음 도난 주의보 발령~ 하늘에서 영탁이 내려와♬♡,84934,6314,사랑의 콜센타
40,BTS 여고생 자기님이 바라는 30대 나의 모습? 내가 바로 커.리.어.우.먼.,91623,909,유 퀴즈 온 더 블럭
41,BTS 춤추고 어쩌다 조회수 700만 스타가 된 김정현 자기님과의 만남!,65981,488,유 퀴즈 온 더 블럭
42,[티저] 두 개의 탑 차은우x황인엽 등장! 문가영과의 첫만남=대환장파티?!@_@,212732,1408,여신강림
43,"＂...찾았다, 태풍 오빠!＂ 오랜 기다림 끝, 마침내 포옹하는 강은탁과 엄현경♡",51467,365,비밀의 남자
44,[영상] “네트 터치하고도 왜 몰라?” 블로퀸 양효진의 ‘슬픈 배바지’,4582,1,KBS뉴스
45,"[신곡 최초 공개] “언제 들어도 좋은 내 당신” 장윤정, 보고만 있어도 ＜좋은 당신＞",153389,1172,트롯신이 떴다
46,[2020 포스트시즌] 걷잡을 수 없는 텐션 그 속에서 빛나는 동료애 (11.18),10714,221,베어스포티비
47,나왔다! 찬원이의 필살기↗ ‘미운 사내’ ♬,155172,11236,사랑의 콜센타
48,역대 KS시리즈 3차전 명장면 조회수 TOP 5,3137,19,야구 라이프
49,"박건우, 보는 순간 놀랄 수밖에 없는 레이저 송구 / 4회말",104544,222,KBO리그 NC 홈경기 영상
50,연반인 재재의 개인기 퍼레이드!! ＂알싸하아아아한~＂,32513,465,라디오스타
51,흙먼지 뒤로한 채 추락한 BMW…'급발진' 첫 인정,16363,5,SBS뉴스
52,[11/18] '어떻게 이럴 수 있지?' NC를 좌절시킨 더블 플레이 모음,32143,362,크보연구소_네이버스포츠
53,113년 만의 11월 폭우…내일부터 본격 겨울추위,10078,2,연합뉴스TV
54,소원의 빅피처? “누가 혜정이 옷 사주니까~”,63849,98,아내의 맛
55,김희재✕이수영 ‘슬픈 사랑의 노래’ ♫  감미로운 듀엣..,94373,3493,사랑의 콜센타
56,[허석호 레슨] 부드러운 스윙을 위한 다운스윙 동작,4091,3,SBS골프 아카데미
57,[팩트체크] '횡단보도 우회전 단속' 도는 글 확인해보니,40895,49,JTBC뉴스
58,알테어 'NO마스크' 논란 본질과 사과 비하인드...외국인 선수 문화,7232,31,야구부장의 크보핵인싸
59,"[전체HL] '나성범 4안타+알테어 홈런' NC, 두산 잡고 기선제압",147213,1521,KBO리그 NC 홈경기 영상
60,[아카데미]아이언샷 정타율 높이는 3단계 방법! 어드레스시 우향우?!!!,16933,68,골프레슨 with SBS골프
61,HL 대한민국 vs 카타르,243214,597,축구대표팀_네이버스포츠
62,MVㅣ나훈아  - 테스형!ㅣ2020 신곡 아홉 이야기,970608,3619,다날엔터테인먼트
63,오자마자 덕담 주고받는 박미선&김구라 😈,116367,364,라디오스타
64,＂이러다 망하겠는데...?＂ 친형의 도움으로 다시 일어선 헨리,19544,421,라디오스타
65,[11/18] '방망이 프러포즈?' 양의지와 두산 선수들의 케미 모음,40285,397,크보연구소_네이버스포츠
66,＂나이 얘기 하지 마.세.요.😤＂ 항상 어리고 싶은 헨리,33648,444,라디오스타
67,"[애프터게임] ""베어스 팬, 진짜 너무 사랑해요, 알러뷰!"" (11.18)",11595,311,베어스포티비
68,＂잡지말라고오옹!!😤＂ 카메라 감독과 싸우는 박미선,19768,123,라디오스타
69,"[KBL 신인드래프트 특집] 나노분석, 윤곽 나온 1, 2라운드 지명 선수들. 10개 구단 선택은?",7312,29,이류농구
70,‘Beautiful’♪ 전주부터 차오르는 감성 영웅♥,285473,24384,사랑의 콜센타
71,박서진 ‘밀어 밀어 (PUSH PUSH)’ - KMDF 2020,28501,1248,Simply K-Pop (심플리 케이팝)
72,[＃특별영상] 라라를 배신하고 돈을 챙겨 도망간 문비서...? 온갖 추측 난무한 회장님은 왜 그럴까 특별 영상☆,6475,63,도도솔솔라라솔
73,＂암 쏘 매애애드~♬＂ 전화로 즉석 라이브 해주는 바다 자기님!,25805,195,유 퀴즈 온 더 블럭
74,[메이킹] 월급쟁이 기자들의 리얼 밥벌이 라이프＜허쉬＞ 대본리딩 현장 | 12월 11일 첫 방,22682,564,허쉬
75,이찬원 ‘밤열차’♪♬ 또마을호 출발합니다~✧,179449,8687,뽕숭아학당
76,"어제 신규 확진 343명...""거리두기 추가 격상 검토""",9940,1,뉴스는 YTN
77,[허석호 레슨] 최혜진 스윙 분석,11994,18,SBS골프 아카데미
78,[명랑골프]파4홀 원 온에 성공하기 미션 #박결 아쉬워라~#안소현 버디성공?,5168,6,골프레슨 with SBS골프
79,안중근 의사의 재판 당시 기록?! 이걸 어디서 나셨어요...??,23878,280,유 퀴즈 온 더 블럭
80,"추미애, 윤석열 대면 감찰조사 강행…“오후 2시 간다”",11403,2,채널A뉴스
81,"추미애, 오늘 윤석열 '대면 감찰' 조사 돌연 취소",2872,2,TV조선 뉴스
82,[날씨] 때 아닌 가을폭우…낮부터 충북·남부 비 집중,6624,1,연합뉴스TV
83,“제일 중요한 건 너야” 습관 바꾸라는 엄마,92746,277,아내의 맛
84,[날씨] 역대 최고 11월 비…폭우 구름 동진 중,8485,8,MBC뉴스
85,[48회 예고] ＂우리가 정말 사랑해서 결혼했을 것 같아?＂ [비밀의 남자],49529,148,비밀의 남자
86,공 5개로 아웃카운트 10개를 만들다,79349,1283,KBO리그 NC 홈경기 영상
87,[#하이라이트#]각자의 공간이 필요한 배우 장광의 가족들!?▶모두를 만족시킨 집의 변신,21647,87,신박한 정리
88,"“내 자식이기도 해요” 이지아, 쌍둥이 압박하는 엄기준에 든 반기!",228412,782,펜트하우스
89,귀여운데🐣..멋있는 ✧환상의 짝꿍✧ ‘눈코입’♪,99454,3844,사랑의 콜센타
90,‘고백’ ♬ 크러쉬 ✕ MC웅의 숨겨왔던 랩 실력🎤,267477,20290,사랑의 콜센타
91,SK 야수FA 보강 절실 / LG 윌슨 교체 가능성 / 롯데 성민규-허문회 내년에도 함께,20566,107,야구부장의 크보핵인싸
92,[매부리TV] 내년 집값이 위험한 이유/ 이광수 미래에셋증권 연구원,41140,119,매부리TV
93,[날씨] 남부 벼락 동반 국지 호우...비 그친 뒤 기온 '뚝',1462,0,뉴스는 YTN
94,[50회 선공개] K팝 어벤져스! 태민과 함께 전남 맛남이 만나러 출발~♥,18183,710,맛남의 광장
95,"[8회 예고] 유진, 헤라팰리스 입성할 수 있을까?!",531585,881,펜트하우스
96,[가장빠른_현장직캠] 이것이 한국전력 신영석 효과!,5801,63,주간배구
97,한국 사람 다 된 헨리?! ＂제가 빽(?)이 없어서👉👈;;＂,27978,464,라디오스타
98,사상 초유 현직 검찰총장 감찰…秋-尹 갈등 심화,1187,1,채널A뉴스
99,풀세트 접전 끝에 KB손해보험을 꺾고 2연승 질주하는 한국전력,15166,116,프로배구 네이버스포츠
100,강은탁 찾아온 엄현경의 오열＂왜 자꾸 거짓말하는 거야... 오빠라고 말 좀 해줘!＂,29351,186,비밀의 남자
